File ID,Variable,Method,Cluster,Mean,Median,H-Statistic,P-Value
W5D2T0_,fasting triglyceride,kmeans,Cluster 1,1.1572244180939837,1.03,4.128222728216306,0.0421736208914756
W5D2T0_,fasting triglyceride,kmeans,Cluster 2,1.4193103448275863,1.2,4.128222728216306,0.0421736208914756
W5D2T0_,CRP-D1,kmeans,Cluster 1,782.6393887242425,503.515526,5.785987958401762,0.0161544160393821
W5D2T0_,CRP-D1,kmeans,Cluster 2,679.2604283865519,225.7936104,5.785987958401762,0.0161544160393821
W5D2T0_,MCP1-AVG,kmeans,Cluster 1,203.93987694203128,153.55680497499998,3.857619577308128,0.0495205397572732
W5D2T0_,MCP1-AVG,kmeans,Cluster 2,173.0351840424138,171.03181819999998,3.857619577308128,0.0495205397572732
W5D2T120_,IL18-D1,kmeans,Cluster 1,275.443733946875,251.08720485,4.49488955248002,0.0339963097131697
W5D2T120_,IL18-D1,kmeans,Cluster 2,218.9419307063333,202.6546055,4.49488955248002,0.0339963097131697
W5D3T120_,ICAM1-AVG,kmeans,Cluster 1,218.39980341282603,218.62408525,5.372306515364045,0.0204589067280384
W5D3T120_,ICAM1-AVG,kmeans,Cluster 2,260.4591388574193,251.152843,5.372306515364045,0.0204589067280384
W5D3T240_,CRP-D1,kmeans,Cluster 1,978.1184472144188,501.1702419,7.456810631229246,0.0063196878267608
W5D3T240_,CRP-D1,kmeans,Cluster 2,296.2411667625001,178.47868465,7.456810631229246,0.0063196878267608
W5D3T240_,IL18-D1,kmeans,Cluster 1,242.79123864162796,228.4554831,5.931834316696298,0.0148697557689674
W5D3T240_,IL18-D1,kmeans,Cluster 2,321.3177254083334,311.4471986,5.931834316696298,0.0148697557689674
